Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
2019Q4,,S08000015,,A111H,,C2,,Accident & Emergency,,41,,41,,0.44565217391304346,,0.44565217391304346,,100,
2019Q4,,S08000015,,A210H,,C2,,Accident & Emergency,,60,,60,,0.6521739130434783,,0.6521739130434783,,100,
2019Q4,,S08000015,,S08000015,d,C2,,Accident & Emergency,,101,,101,,1.0978260869565215,,1.0978260869565215,,100,
2020Q1,,S08000015,,A101H,,C2,,Accident & Emergency,,1,,1,,0.01098901098901099,,0.01098901098901099,,100,
2020Q1,,S08000015,,A111H,,C2,,Accident & Emergency,,23,,23,,0.25274725274725274,,0.25274725274725274,,100,
2020Q1,,S08000015,,A210H,,C2,,Accident & Emergency,,25,,25,,0.27472527472527475,,0.27472527472527475,,100,
2020Q1,,S08000015,,S08000015,d,C2,,Accident & Emergency,,49,,49,,0.5384615384615384,,0.5384615384615384,,100,
2020Q2,,S08000015,,A111H,,C2,,Accident & Emergency,,47,,47,,0.5164835164835165,,0.5164835164835165,,100,
2020Q2,,S08000015,,A210H,,C2,,Accident & Emergency,,9,,9,,0.0989010989010989,,0.0989010989010989,,100,
2020Q2,,S08000015,,S08000015,d,C2,,Accident & Emergency,,56,,56,,0.6153846153846154,,0.6153846153846154,,100,
2020Q3,,S08000015,,A111H,,C2,,Accident & Emergency,,21,,21,,0.22826086956521735,,0.22826086956521735,,100,
2020Q3,,S08000015,,A210H,,C2,,Accident & Emergency,,28,,28,,0.30434782608695654,,0.30434782608695654,,100,
2020Q3,,S08000015,,S08000015,d,C2,,Accident & Emergency,,49,,49,,0.532608695652174,,0.532608695652174,,100,
2020Q4,,S08000015,,A111H,,C2,,Accident & Emergency,,6,,6,,0.06521739130434782,,0.06521739130434782,,100,
2020Q4,,S08000015,,A210H,,C2,,Accident & Emergency,,36,,36,,0.391304347826087,,0.391304347826087,,100,
